project_id,investment,expected_return,impact_score,viability
1,171958,260243.32256072713,5,0
2,196867,365755.7095404395,3,0
3,181932,326026.86826169357,7,1
4,415838,482210.8929021678,9,0
5,309178,352857.1651620065,9,0
6,169879,281782.5639775464,9,1
7,160268,226406.12689852362,2,0
8,257892,332221.0421755382,3,0
9,104886,170092.0467243025,7,1
10,187337,263659.38444156805,5,0
11,480410,760747.0462212458,2,0
12,137498,208186.71770973087,3,0
13,424871,690963.2441806506,6,1
14,438468,640281.8592943619,7,1
15,225203,389128.44753934315,9,1
16,241335,304579.38165517617,1,0
17,328167,566695.6170006077,7,1
18,91090,133947.3980142445,8,1
19,379365,715818.4483490364,3,0
20,114820,179545.46343755783,4,0
21,312913,618253.2908490405,6,1
22,371879,610529.319662539,7,1
23,244027,317592.39440532954,4,0
24,377069,693660.4962798697,8,1
25,302709,426993.5554669382,5,0
26,249041,351859.3931145838,1,0
27,317455,358287.3996447858,4,0
28,153355,244423.91261915193,3,0
29,285796,451838.0897054662,9,1
30,264176,375233.5657141326,8,1
31,234779,447205.9912888983,1,0
32,397449,483247.7299402157,6,0
33,471909,659299.138104014,9,0
34,308795,429047.3348374326,7,0
35,442752,523802.8574705548,4,0
36,206730,316923.4685819317,1,0
37,396622,681795.6950576744,2,0
38,434681,678315.9240751634,5,0
39,199503,247639.0667714359,5,0
40,180523,259873.2148730552,8,1
41,52747,58144.891776047785,6,0
42,173855,327103.1400673048,8,1
43,115725,136100.15764246223,2,0
44,179981,294727.9358701732,3,0
45,134654,267642.5045693051,6,1
46,478989,758206.8152377438,3,0
47,431490,833482.3007735397,6,1
48,117435,154134.01055997814,6,0
49,369030,658334.7101042136,2,0
50,378947,598031.107303908,7,1
51,81551,142589.0247902818,2,0
52,428360,495230.0914407839,6,0
53,323538,398911.0892854411,1,0
54,381236,465033.66884827835,3,0
55,53890,92607.21417756696,2,0
56,91606,170386.84903154857,7,1
57,306840,544535.0201665635,4,0
58,399457,450357.783243053,8,0
59,191699,360488.72019133903,6,1
60,320936,455322.1743438963,4,0
61,289931,422559.1964095671,5,0
62,289629,345927.73665027233,9,0
63,255041,449806.80505063635,7,1
64,224073,283240.705951569,9,0
65,257624,414148.24857963464,7,1
66,467113,867260.2072700582,1,0
67,118148,139448.1817258048,8,0
68,302801,478971.22970751807,4,0
69,174243,228239.9944779048,3,0
70,301995,425400.4785399419,7,1
71,432318,659964.9634254377,3,0
72,204555,290385.0246815684,8,1
73,436502,735043.4206896583,6,1
74,98555,150949.19263455112,5,0
75,306508,498314.43409469357,4,0
76,329303,580607.3664534739,8,1
77,422654,677078.1997057146,8,1
78,156530,254812.35242870377,1,0
79,130077,209165.46645214583,9,1
80,348064,501523.80375119863,5,0
81,250551,351698.9775060987,4,0
82,331601,633252.6788866149,6,1
83,258261,425304.1373382844,6,1
84,290181,383015.07870530005,2,0
85,391097,605583.5618970643,8,1
86,365139,510213.7026957885,7,0
87,221829,430419.8312155463,1,0
88,321836,356201.9463642563,5,0
89,488974,637035.0914858172,6,0
90,252283,360467.28308404726,4,0
91,246769,379784.6030621943,2,0
92,87065,162440.28447136367,4,0
93,273165,322088.5406617576,1,0
94,149299,272512.2395530094,7,1
95,475822,547237.2391515333,2,0
96,61534,114335.25666323447,2,0
97,90397,103637.62306408011,9,0
98,307750,343577.71129362035,5,0
99,403531,697005.1002831659,2,0
100,313160,625546.4889412633,9,1
